Dates,LR,SVR,KNN,Holts Linear
5/7/2022,11946.4714,-37844.74715,897,89754
5/8/2022,10889.8088,-41012.67501,848,89754
5/9/2022,9833.146205,-44291.74563,800,89754
5/10/2022,8776.483607,-47684.85816,751,89754
5/11/2022,7719.821008,-51194.96175,703,89754
5/12/2022,6663.15841,-54825.05595,654,89754
5/13/2022,5606.495811,-58578.19117,605,89754
5/14/2022,4549.833213,-62457.46904,557,89754
5/15/2022,3493.170614,-66466.04294,508,89754
5/16/2022,2436.508016,-70607.11832,460,89754
5/17/2022,1379.845417,-74883.9532,411,89754
5/18/2022,323.182819,-79299.85857,362,89754
5/19/2022,-733.4797794,-83858.19883,314,89754
5/20/2022,-1790.142378,-88562.3922,265,89754
5/21/2022,-2846.804976,-93415.91115,217,89754
5/22/2022,-3903.467575,-98422.28285,168,89754
4/23/2022,-4960.130173,-103585.0896,111,89754
