State,Active_cases,Cured_cases
Andaman and Nicobar Islands,1,129
Andhra Pradesh,14,14730
Arunachal Pradesh,0,296
Assam,9,7986
Bihar,34,12256
Chandigarh,60,1165
Chhattisgarh,28,14034
Dadra and Nagar Haveli and Daman and Diu,0,4
Delhi,4832,26170
Goa,39,3832
Gujarat,105,10943
Haryana,2021,10619
Himachal Pradesh,66,4134
Jammu & Kashmir,58,4751
Jharkhand,28,5317
Karnataka,1755,4057
Kerala,2737,68952
Ladakh,3,228
Lakshadweep,0,52
Madhya Pradesh,83,10735
Maharashtra,955,147837
Manipur,17,2120
Meghalaya,3,1593
Mizoram,730,696
Nagaland,0,760
Odisha,133,9124
Puducherry,7,1962
Punjab,172,17748
Rajasthan,242,9552
Sikkim,2,452
Tamil Nadu,447,38025
Telangana,276,4111
Tripura,1,922
Uttarakhand,1384,23506
Uttar Pradesh,450,7693
West Bengal,288,21201
